EPM,Plant,City,State,DCO enhancement / tech flag,Corn oil detail class,Corn oil source evidence,Tank count from evidence,Largest tank gal,Total named tank gal,Corn oil yield available,Source file
3581,Cargill Inc,Eddyville,IA,,Presence only; limited detail,DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.,,,,No,06-TV-006R1.pdf
3582,Cargill Inc,Fort Dodge,IA,,Presence only; limited detail,DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.,,,,No,17-TV-003R1.pdf
3608,Golden Grain Energy LLC,Mason City,IA,,Storage + loadout identified,- Corn Oil 1 Corn Oil Tank 1; - Corn Oil 2 Corn Oil Tank 2; - Corn Oil 3 Corn Oil Tank 3; DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - IA-01 Corn Oil Recovery System; - Oil Loading Corn Oil Loadout; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.,,,,No,09-TV-002R2.pdf
3609,Grain Processing Corp,Muscatine,IA,,Presence only; limited detail,DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.,,,,No,03-TV-029R2.pdf
3621,Green Plains Superior,Superior,IA,,Storage + loadout identified,"- TK-7901 Corn Oil Storage Tank (63,174 gal); DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - NA Corn Oil Loadout; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.",1,63174.0,63174.0,No,13-TV-005R2.pdf
3632,Homeland Energy Solutions LLC,Lawler,IA,,Storage tanks identified,DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - SUE08 Corn Oil Retention Tank Vent; - SUE01 Corn Oil Loading Operation; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.,,,,No,14-TV-001R2.pdf
3641,Lincolnway Energy LLC,Nevada,IA,,Presence only; limited detail,DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.,,,,No,14-TV-002R2.pdf
3662,Poet Biorefinning-Arthur LLC,Arthur,IA,,Storage + loadout identified,- EP 8301 Corn Oil Storage Tank #1 (0.16 psi); - EP 8302 Corn Oil Storage Tank #2 (0.16 psi); - EP 8308 Corn Oil Storage Tank #3 (0.16 psi); - EP 8304 Corn Oil Storage Tank #4 (0.16 psi); - EP 8305 20000 gal Corn Oil Storage Tank #1 (0.16 psi); - EP 8306 20000 gal Corn Oil Storage Tank #2 (0.16 psi); - EP 8307 20000 gal Corn Oil Storage Tank #3 (0.16 psi); DDGS / Corn Oil Systems:,4,20000.0,60300.0,No,10-TV-008R2.pdf
3663,Poet Biorefinning-Ashton LLC,Ashton,IA,,Separation / centrifuge system,"- EU-29 Corn Oil Storage Tanks (2), 30,000 gallons each; DDGS / Corn Oil Systems:; - Corn oil source line: EU-29 Corn Oil Storage Tanks (2), 30,000 gallons each; - EU-30 Corn Oil Separation System; - EP-SV25 EU-30 Corn Oil Separation System 19-A-084; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.",,,,No,14-TV-006.pdf
3669,Poet Biorefinning-Coon Rapids,Coon Rapids,IA,,Separation / centrifuge system,DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - CORNOIL Corn Oil Separation System; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.,,,,No,07-TV-001R3.pdf
3670,Poet Biorefinning-Corning LLC,Corning,IA,,Separation / centrifuge system,"Corn Oil:; - Corn Oil Extraction System; - 2 Corn Oil Centrifuges; - 2 Corn Oil Storage Tanks (30,000 gal each); - Corn Oil Recovery",1,30000.0,30000.0,No,Plant Name POET Biorefining – Corni.txt
3754,Poet Biorefinning-Emmetsburg LLC,Emmetsburg,IA,,Presence only; limited detail,DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - CORNOIL Corn Oil Separation; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.,,,,No,14-TV-003R1-M001.pdf
3671,Poet Biorefinning-Fairbank,Fairbank,IA,,Storage + loadout identified,"- TK-13800 Corn Oil Tank #1 (20,000 gal); - TK-13801 Corn Oil Tank #2 (20,000 gal); - TK-13802 Corn Oil Tank #3 (20,000 gal); - TK-13803 Corn Oil Tank #4 (20,000 gal); DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - S204 Corn Oil Loadout (0.16 psi); - S206 Corn Oil Vent (0.16 psi)",4,20000.0,80000.0,No,15-TV-010R2.pdf
3675,Poet Biorefinning-Gowrie LLC,Gowrie,IA,,Separation / centrifuge system,Corn Oil Recovery:; - Corn Oil Extraction System; - Corn Oil Storage and Loadout; - Corn oil extraction system,,,,No,Plant Name POET Biorefining – Gowri.txt
3677,Poet Biorefinning-Hanlontown LLC,Hanlontown,IA,,Presence only; limited detail,DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - SV31 EU37 Corn Oil Separation 19-A-038; - TK016/TK017 Corn Oil System; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.,,,,No,21-TV-001R1.pdf
3679,Poet Biorefinning-Iowa Falls LLC,Iowa Falls,IA,,Storage tanks identified,DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - TK-13500 Corn Oil Dump Tank; - TK-13500 Corn Oil Reactor Tank; - TR-13501 Corn Oil Agitator Tank; - TK-2022 Corn Oil Extraction Feed Tank; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.,,,,No,19-TV-005R1.pdf
3680,Poet Biorefinning-Jewell LLC,Jewell,IA,,Separation / centrifuge system,DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - EU26 Corn Oil Separation System; - EP SV22 EU26 Corn Oil Separation System 18-A-456; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.,,,,No,18-TV-004-M001.pdf
3686,Poet Biorefinning-Menlo,Menlo,IA,,Storage + loadout identified,"- EU TK-13800 Corn Oil Tank 1 (20,000 gal); - EU TK-13801 Corn Oil Tank 2 (20,000 gal); - EU TK-13802 Corn Oil Tank 3 (20,000 gal); - EU TK-13803 Corn Oil Tank 4 (20,000 gal); DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - S201 Corn Oil Loadout; - S202 Corn Oil Vents",4,20000.0,80000.0,No,15-TV-006R1.pdf
3708,Sothwest Iowa Renewable,Council Bluffs,IA,,Separation / centrifuge system,"Corn Oil Recovery:; - Corn Oil Separation System; - Corn Oil Truck Loadout; - Corn Oil Receiver and Feed Tank System; - Five 30,000-gallon Corn Oil Frac Tanks; - Multiple Corn Oil Storage Tanks; - Extensive corn oil recovery infrastructure",,,,No,Plant Name Southwest Iowa Renewable.txt
3714,The Andersons Marathon Holdings LLC,Denison,IA,,Presence only; limited detail,DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.,,,,No,14-TV-011R2.pdf
3557,VCP Corn Processing,Cedar Rapids,IA,,Presence only; limited detail,DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.,,,,No,9080_08-TV-007R2.pdf
3721,Valero Renewable Fuels LLC,Albert City,IA,,Presence only; limited detail,DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - PC-8901 Corn Oil Loadout; - SS-CO3 Paved Road Emissions from Corn Oil Proc.; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.,,,,No,16-TV-006R1.pdf
3726,Valero Renewable Fuels LLC,Charles City,IA,,Presence only; limited detail,DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - SS-CO1 Corn Oil Loadout; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.,,,,No,15-TV-009R2.pdf
3727,Valero Renewable Fuels LLC,Ft. Dodge,IA,,Presence only; limited detail,DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - 89 Corn Oil Loadout; - SS-CO3 Paved Road Emissions from Corn Oil Production; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.,,,,No,16-TV-005R1.pdf
3728,Valero Renewable Fuels LLC,Hartley,IA,,Presence only; limited detail,DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - SS-CO3 Paved Road Emissions From Corn Oil Proc.; - 88 Corn Oil Loadout; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.,,,,No,16-TV-004R1.pdf
3729,Valero Renewable Fuels LLC,Lakota,IA,,Storage + loadout identified,- T-621 Corn Oil Tank #1 (<1mmHG); - T-622 Corn Oil Tank #2 (<1mmHG); DDGS / Corn Oil Systems:; - Corn oil source line: not identified; - L-EIA03 Corn Oil Truck Loadout; - Corn oil yield: not available | Formula: corn oil production / corn throughput | Confidence: missing input | Note: permit text generally identifies system presence but not annual corn oil production.,,,,No,10-TV-001R2.pdf
3617,Green Plains Mount Vernon LLC,Mount Vernon,IN,FQPT HI PRO,Enhanced/high-protein linked DCO,,,,,No,
3594,Denco II LLC,Morris,MN,Alpha Laval,Technology flag only,,,,,No,
3587,Chippewa Valley Ethanol Co LLLP,Benson,MN,Fluid Quip,Enhanced/high-protein linked DCO,,,,,No,
3593,Dakota Spirit Agenergy,Spiritwood,ND,Alpha Laval,Technology flag only,,,,,No,
3711,Tharaldson Ethanol,Casselton,ND,FQPT HI PRO,Enhanced/high-protein linked DCO,,,,,No,
3614,Green Plains Central City LLC,Central City,NE,FQPT HI PRO,Enhanced/high-protein linked DCO,,,,,No,
3622,Green Plains Wood River LLC,Wood River,NE,FQPT HI PRO,Enhanced/high-protein linked DCO,,,,,No,
3672,Poet Biorefining-Fairmont,Fairmont,NE,FQPT HI PRO,Enhanced/high-protein linked DCO,,,,,No,
3597,E Energy Adams LLC,Adams,NE,Fluid Quip,Enhanced/high-protein linked DCO,,,,,No,
3735,Western New York Energy LLC,Medina,NY,ICM FOT,Technology flag only,,,,,No,
3618,Poet Biorefining-Obion LLC,Rives,TN,FQPT HI PRO,Enhanced/high-protein linked DCO,,,,,No,
3567,Badger State Ethanol LLC,Monroe,WI,FQPT HI PRO,Enhanced/high-protein linked DCO,,,,,No,
3720,United Wisconsin Grain Producers LLC,Friesland,WI,FQPT HI PRO,Enhanced/high-protein linked DCO,,,,,No,
3547,Ace Ethanol LLC,Stanley,WI,Fluid Quip,Enhanced/high-protein linked DCO,,,,,No,
