EPM,Plant,City,State,Operating permit dryer type,Tech flag dryer type,Dryer type from tech flags,Dryer count from permit,Dryer confidence,Membrane dehydration,Membrane / White Fox detail,Dryer source evidence,Source file
3621,Green Plains Superior,Superior,IA,DDGS Dryer,Ring Dryer,Ring Dryer,1.0,low,No,,Dryer mentions parsed: 1; EU-33 DDGS Dryer; EU-34 DDGS Cooler; EU-35 DDGS Handling; EP-SV10 EU-36 DDGS Rail Loadout 06-A-468-S2; EU-37 DDGS Truck Loadout; EP-SV18 EU-34 DDGS Cooler By-pass 11-A-710-S1; EP-FS01 EU-FS01 Uncaptured DDGS Storage Building Emission NA,13-TV-005R2.pdf
3632,Homeland Energy Solutions LLC,Lawler,IA,DDGS Dryer,Rotary Dryer,Rotary Dryer,6.0,low,No,,Dryer mentions parsed: 6; EU-P10A DDGS Dryer A; EU-P10B DDGS Dryer B; EU-P70 DDGS Cooling Drum; EU-10c DDGS Dryer C; EU-10d DDGS Dryer D; 15a DDGS Dryer E; EP-S15 15b DDGS Dryer F 17-A-118-S2,14-TV-001R2.pdf
3641,Lincolnway Energy LLC,Nevada,IA,DDGS Dryer,Steam Tube Dryer,Steam Tube Dryer,3.0,low,Yes,White Fox ICE,Dryer mentions parsed: 3; S70 P70 DDGS Cooler 05-A-087-S10; S90 P90 DDGS Loadout 05-A-088-S7; P170A DDGS Dryer #1; P170B DDGS Dryer #2; P170C DDGS Dryer #3,14-TV-002R2.pdf
3642,Little Sioux Corn Processors LLLP,Marcus,IA,MSC Dryer + DDGS Dryer,Rotary Dryer,Rotary Dryer,4.0,low,No,,Dryer mentions parsed: 4; EU-P10 DDGS Dryer A & B; EU-P53 MSC Dryer; EU-P10B DDGS Dryer C & D; EP-S10B EU-P50B DDGS Dryer A & B and Distillation Process 06-A-797-S8; EP-S53 EU-P53 MSC Dryer 20-A-150; EP-S70 EU-S70 DDGS Cooler 01-A-550-S14; EP-S70B EU-S70B DDGS Cooler 06-A-798-S9,10-TV-005R2.pdf
3643,Louis Dreyfus Co,Grand Junction,IA,,Rotary Dryer,,,low,No,,,
3659,Pine Lake Corn Processors,Steamboat Rock,IA,DDGS Dryer,Ring Dryer & Rotary,Ring Dryer & Rotary,3.0,,Yes,White Fox ICE,Dryer mentions parsed: 3; S40 EU40 DDGS Dryer #1 03-A-624-S12; S40A (bypass) EU40 DDGS Dryer #1 23-A-393; EU68 DDGS Dryer A; EU69 DDGS Dryer B; S41 EU41 DDGS Cooler #1 03-A-625-S9; S42 EU43 DDGS Cooler #2 16-A-491-S4; FS007 Loadout (DDGS Handling #2),19-TV-001R1.pdf
3660,Plymouth Energy LLC,Merrill,IA,,Ring Dryer,,,low,No,,,
3662,Poet Biorefinning-Arthur LLC,Arthur,IA,DDGS Dryer,Rotary Dryer,Rotary Dryer,5.0,low,No,,Dryer mentions parsed: 5; S10 01 DDGS Dryer A 07-A-068-S12; 02 DDGS Dryer B; 03 DDGS Dryer C; 04 DDGS Dryer D; S70 S70 DDGS Cooling Drum 07-A-074-S5; S90 74 DDGS Storage Silo 07-A-076-S3; 75 DDGS Storage Silo,10-TV-008R2.pdf
3663,Poet Biorefinning-Ashton LLC,Ashton,IA,DDGS Dryer,Ring Dryer,Ring Dryer,2.0,low,No,,"Dryer mentions parsed: 2; EU-29 DDGS Loadout; EU-8 DDGS Dryer #1; EU-9 DDGS Dryer #2; EP- SV7 EU-11 DDGS Fluid Bed Cooler 03-A-363-S5; EP-SV8 EU-12 DDGS Storage Silo 03-A-364; EP-SV9 EU-13 DDGS Silo Bypass 03-A-365; Fugitive DDGS Loadout, DDGS Flat Storage,",14-TV-006.pdf
3669,Poet Biorefinning-Coon Rapids,Coon Rapids,IA,DDGS Dryer,Ring Dryer,Ring Dryer,2.0,low,No,,Dryer mentions parsed: 2; EU-1a DDGS Loadout; EU-8a DDGS Dryer #1 (Process); EU-8b DDGS Dryer #1 (Combustion); EP-SV6 EU-9a DDGS Dryer #2 (Process) 01-A-439-S12; EU-9b DDGS Dryer #2 (Combustion); EP-SV7 EU-10 DDGS Cooling Cyclone 01-A-440-S6; EP-SV8 EU-11 DDGS Storage Silo 01-A-441-S1,07-TV-001R3.pdf
3670,Poet Biorefinning-Corning LLC,Corning,IA,Ring Dryer,Ring Dryer,Ring Dryer,,low,No,,,Plant Name POET Biorefining – Corni.txt
3754,Poet Biorefinning-Emmetsburg LLC,Emmetsburg,IA,Ring Dryer,Ring Dryer,Ring Dryer,0.0,low,No,,Dryer mentions parsed: 0; Solubles (DDGS) Fluid Bed Cooler; EP SV11 EU20 DDGS Storage Silo 04-A-229; EP SV12 EU21 DDGS Storage Silo Bypass 04-A-230-S1,14-TV-003R1-M001.pdf
3671,Poet Biorefinning-Fairbank,Fairbank,IA,DDGS Dryer,Rotary Dryer,Rotary Dryer,4.0,low,No,,Dryer mentions parsed: 4; EU 62 Dryer A; EU 63 Dryer B; EU 64 Dryer C; EU 65 Dryer D; EP S70 EU P70 DDGS Cooler 05-A-011-S6; EP S90 EU P90 Rail and Truck DDGS Loadout 05-A-009-S3,15-TV-010R2.pdf
3675,Poet Biorefinning-Gowrie LLC,Gowrie,IA,Ring Dryer,Ring Dryer,Ring Dryer,,low,No,,,Plant Name POET Biorefining – Gowri.txt
3677,Poet Biorefinning-Hanlontown LLC,Hanlontown,IA,Ring Dryer,Ring Dryer,Ring Dryer,1.0,low,No,,Dryer mentions parsed: 1; EU34 DDGS Loadout; SV7 EU11 DDGS Fluid Bed Cooler 03-A-388-S7; SV8 EU12 DDGS Silo 03-A-389-S3; SV9 EU13 DDGS Silo Bypass 03-A-390-S3; SV25 Various Fermentation/Distillation/Dryers 03-A-387-S16,21-TV-001R1.pdf
3679,Poet Biorefinning-Iowa Falls LLC,Iowa Falls,IA,DDGS Dryer,Rotary Dryer,Rotary Dryer,4.0,low,No,,Dryer mentions parsed: 4; EU P10A DDGS Dryer A; EU P10B DDGS Dryer B; EU P10C DDGS Dryer C; EU P10D DDGS Dryer D; EP S90 EU S90 DDGS Loading 03-A-1318-S1; EP S91 EU S91 DDGS Loading 06-A-647-S1; EP S70 EU P70 DDGS Cooler 03-A-1317-S5,19-TV-005R1.pdf
3680,Poet Biorefinning-Jewell LLC,Jewell,IA,DDGS Dryer,Ring Dryer,Ring Dryer,2.0,low,No,,Dryer mentions parsed: 2; EU027 DDGS Loadout; EU11 DDGS Dryer 1; EU12 DDGS Dryer 2; EP SV9 EU18 DDGS Fluid Bed Cooler 05-A-432-S5; EP SV10 EU19 DDGS Storage Silo 05-A-433-S3; EP SV11 EU20 DDGS Storage Silo Bypass 05-A-434-S5,18-TV-004-M001.pdf
3686,Poet Biorefinning-Menlo,Menlo,IA,DDGS Dryer,Rotary Dryer,Rotary Dryer,4.0,low,No,,Dryer mentions parsed: 4; EU 62 DDGS Dryer A; EU 63 DDGS Dryer B; EU 64 DDGS Dryer C; EU 65 DDGS Dryer D; EP S70 EU P70 DDGS Cooler 07-A-295-S3; EU P90 DDGS Loadout Truck; EU P90(2) DDGS Loadout Rail,15-TV-006R1.pdf
3692,Poet Biorefinning-Shell Rock LLC,Shell Rock,IA,DDGS Dryer,Rotary Dryer,Rotary Dryer,6.0,low,No,,Dryer mentions parsed: 6; EU 62 DDGS Dryer A; EU 63 DDGS Dryer B; EU 64 DDGS Dryer C; EU 65 DDGS Dryer D; EU 115 Protein Dryer A; EU 116 Protein Dryer B; EP S70 EU P70 DDGS Cooler 07-A-172-S3,15-TV-003R1.pdf
3696,Quad County Corn Processors Coop,Galva,IA,,Ring Dryer,,,,No,,,
3705,Siouxland Energy Cooperative,Sioux Center,IA,,Ring Dryer,,,low,No,,,
3708,Sothwest Iowa Renewable,Council Bluffs,IA,Rotary Dryer,Rotary Dryer,Rotary Dryer,,low,Yes,White Fox ICE,,Plant Name Southwest Iowa Renewable.txt
3714,The Andersons Marathon Holdings LLC,Denison,IA,DDGS Dryer,Rotary Dryer,Rotary Dryer,3.0,low,Yes,White Fox ICE,Dryer mentions parsed: 3; P10a DDGS Dryer #1; P10b DDGS Dryer #2; S70 P70 DDGS Cooler 04-A-645-S7; S90 P90 DDGS Loading 04-A-646-S2; GD2 GD2 Grain Dryer 06-A-809-S2,14-TV-011R2.pdf
3557,VCP Corn Processing,Cedar Rapids,IA,Indirect-Fired Dryer + DDGS Dryer,Rotary Dryer,Rotary Dryer,5.0,,No,,Dryer mentions parsed: 5; 422 422 DDGS Cooler #1 07-A-543-P4 7357 / 7018; 423 423 DDGS Cooler #2 07-A-544-P4 7359 / 7020; 425 425 Indirect-Fired DDGS Dryer #1 07-A-546-P2 7358 / 7019R1; 426 426 Indirect-Fired DDGS Dryer #2 07-A-547-P2 7360 / 7021R1; 427 427 Indirect-Fired DDGS Dryer #3 07-A-548-P2 7361 / 7022R1; 428 428 Indirect-Fired DDGS Dryer #4 07-A-549-P2 7362 / 7023R1; 429 429 Indirect-Fired DDGS Dryer #5 07-A-550-P2 7363 / 7024R1,9080_08-TV-007R2.pdf
3721,Valero Renewable Fuels LLC,Albert City,IA,Rotary Dryer,Rotary Dryer,Rotary Dryer,0.0,low,No,,Dryer mentions parsed: 0; Not specifically identified in extracted permit text.,16-TV-006R1.pdf
3726,Valero Renewable Fuels LLC,Charles City,IA,DDGS Dryer,Rotary Dryer,Rotary Dryer,4.0,low,No,,Dryer mentions parsed: 4; 01 DDGS Dryer A; 02 DDGS Dryer B; 04 DDGS Dryer C; 05 DDGS Dryer D; 58 DDGS Cooling Drum; DDGS Cooler (Thermal Oxidizer; 49 DDGS Inclined Drag,15-TV-009R2.pdf
3727,Valero Renewable Fuels LLC,Ft. Dodge,IA,DDGS Dryer,Rotary Dryer,Rotary Dryer,4.0,low,No,,Dryer mentions parsed: 4; 01 DDGS Dryer A; 02 DDGS Dryer B; 04 DDGS Dryer C; 05 DDGS Dryer D; 58 DDGS Cooling Drum; 69 DDGS Feed Conveyors; S70 58 DDGS Cooler (Thermal Oxidizer Bypass) 04-A-444-S6,16-TV-005R1.pdf
3728,Valero Renewable Fuels LLC,Hartley,IA,DDGS Dryer,Rotary Dryer,Rotary Dryer,4.0,low,No,,Dryer mentions parsed: 4; 01 DDGS Dryer A; 02 DDGS Dryer B; 04 DDGS Dryer C; 05 DDGS Dryer D; 58 DDGS Cooling Drum; 69 DDGS Feed Conveyors; S70 58 DDGS Cooler (Thermal Oxidizer Bypass) 06-A-1096-S3,16-TV-004R1.pdf
3729,Valero Renewable Fuels LLC,Lakota,IA,DDGS Dryer,Rotary Dryer,Rotary Dryer,3.0,,No,,Dryer mentions parsed: 3; F60 F60 DDGS Auxiliary Loadout 05-A-802-S1; P10a DDG Dryer A; P10b DDG Dryer B; SFX810 P60 DDGS Loadout 02-A-830-S3; SFX825 P60 DDGS Loadout 02-A-831-S2; S70 P70 Train #1 DDGS Cooling Cyclone 01-A-526-S14; S70b P70b Train #2 DDGS Cooling Cyclone 05-A-227-S10,10-TV-001R2.pdf
3552,Alto Magic Valley Ethanol,Burley,ID,,Ring Dryer,,,,No,,,
3562,ADM,Decatur,IL,,Rotary Dryer,,,,No,,,
3548,Adkins Energy LLC,Lena,IL,,Rotary Dryer,,,,No,,,
3554,Alto Pekin LLC Dry Mill,Pekin,IL,,Rotary Dryer,,,,No,,,
3569,Big River Resources Galva LLC,Galva,IL,,Rotary Dryer,,,,No,,,
3572,Biourja Renewables LLC,Peoria,IL,,Rotary Dryer,,,,No,,,
3588,CHS - Annawan,Annawan,IL,,Rotary Dryer,,,,Yes,White Fox,,
3589,CHS - Rochelle,Rochelle,IL,,Rotary Dryer,,,,No,,,
3757,Crysalis Biosciences,Sauget,IL,,Ring Dryer,,,,No,,,
3616,Green Plains Madison LLC,Madison,IL,,Rotary Dryer,,,,No,,,
3640,Lincolnland Agri-Energy LLC,Palestine,IL,,Rotary Dryer,,,,Yes,White Fox,,
3644,Marquis Energy LLC,Hennepin,IL,,Steam Tube Dryer,,,,No,,,
3653,One Earth Energy LLC,Gibson City,IL,,Rotary Dryer,,,,No,,,
3579,Cardinal Ethanol LLC,Union City,IN,,Rotary Dryer,,,,No,,,
3583,Central Indiana Ethanol,Marion,IN,,Rotary Dryer,,,,No,,,
3635,Iroquois Bio-Energy Co LLC,Rensselaer,IN,,Rotary Dryer,,,,No,,,
3661,Poet Biorefining-Alexandria LLC,Alexandria,IN,,Ring Dryer,,,low,No,,,
3668,Poet Biorefining-Cloverdale,Cloverdale,IN,,Ring Dryer,,,low,No,,,
3688,Poet Biorefining-North Manchester,North Manchester,IN,,Ring Dryer,,,low,No,,,
3689,Poet Biorefining-Portland LLC,Portland,IN,,Ring Dryer,,,low,No,,,
3691,Poet Biorefining-Shelbyville,Shelbyville,IN,,Ring Dryer,,,low,No,,,
3707,Southbend Ethanol LLC,South Bend,IN,,Rotary Dryer,,,,No,,,
3713,The Andersons Marathon Holdings LLC,Clymers,IN,,Rotary Dryer,,,,No,,,
3725,Valero Renewable Fuels LLC,Bluffton,IN,,Rotary Dryer,,,,No,,,
3730,Valero Renewable Fuels LLC,Linden,IN,,Rotary Dryer,,,low,No,,,
3731,Valero Renewable Fuels LLC,Mount Vernon,IN,,Ring Dryer,,,,No,,,
3564,Arkalon Ethanol LLC,Liberal,KS,,Rotary Dryer,,,low,No,,,
3574,Bonanza Bioenergy LLC,Garden City,KS,,Rotary Dryer,,,low,No,,,
3756,Cardinal,Colwich,KS,,Rotary Dryer,,,low,No,,,
3598,East Kansas Agri-Energy LLC,Garnett,KS,,Rotary Dryer,,,,No,,,
3639,Kansas Ethanol LLC,Lyons,KS,,Rotary Dryer,,,low,Yes,White Fox ICE Flex,,
3736,Western Plains Energy LLC,Oakley,KS,,Rotary Dryer,,,low,Yes,White Fox ICE XL,,
3590,Commonwealth Agri-Energy,Hopkinsville,KY,,Rotary Dryer,,,,No,,,
3578,Carbon Green Bioenergy LLC,Lake Odessa,MI,,Rotary Dryer,,,,No,,,
3646,Marysville Ethanol LLC,Marysville,MI,,Rotary Dryer,,,,No,,,
3666,Poet Biorefinning-Caro,Caro,MI,,Ring Dryer,,,low,No,,,
3712,The Andersons Marathon Holdings LLC,Albion,MI,,Rotary Dryer,,,,No,,,
3732,ZFS Riga LLC,Riga,MI,,Ring Dryer,,,,No,,,
3563,ADM,Marshall,MN,,Rotary Dryer,,,,No,,,
3550,Al-Corn Clean Fuel,Claremont,MN,,Rotary Dryer,,,low,No,,,
3576,Bushmills Ethanol Inc,Atwater,MN,,Rotary Dryer,,,,No,,,
3587,Chippewa Valley Ethanol Co LLLP,Benson,MN,,Ring Dryer,,,low,Yes,White Fox ICM,,
3594,Denco II LLC,Morris,MN,,Rotary Dryer,,,low,No,,,
3611,Granite Falls Energy LLC,Granite Falls,MN,,Rotary Dryer,,,low,No,,,
3615,Green Plains Fairmont LLC,Fairmont,MN,,Ring Dryer,,,,No,,,
3619,Green Plains Otter Tail LLC,Otter Tail,MN,,Ring Dryer,,,low,No,,,
3624,Greenfield Global Corn Plus LLC,Winnebago,MN,,Ring Dryer,,,,No,,,
3625,Guardian Energy LLC,Janesville,MN,,Rotary Dryer,,,low,No,,,
3628,Heartland Corn Products,Winthrop,MN,,Rotary Dryer,,,low,No,,,
3630,Heron Lake Bioenergy LLC,Heron Lake,MN,,Rotary Dryer,,,low,No,,,
3631,Highwater Ethanol LLC,Lamberton,MN,,Rotary Dryer,,,low,No,,,
3674,Poet Biorefining--Glenville LLC,Albert Lea,MN,,Ring Dryer,,,low,No,,,
3682,Poet Biorefining--Lake Crystal LLC,Lake Crystal,MN,,Ring Dryer,,,low,No,,,
3690,Poet Biorefining--Preston LLC,Preston,MN,,Rotary Dryer,,,low,No,,,
3665,Poet Biorefining-Bingham Lake LLC,Bingham Lake,MN,,Ring Dryer,,,low,No,,,
3733,Valero Renewable Fuels LLC,Welcome,MN,,Rotary Dryer,,,low,No,,,
3634,ICM Biofuels LLC,St Joseph,MO,,Rotary Dryer,,,,No,,,
3649,Mid-Missouri Energy LLC,Malta Bend,MO,,Rotary Dryer,,,low,No,,,
3681,Poet Biorefining-Laddonia LLC,Laddonia,MO,,Ring Dryer,,,low,No,,,
3684,Poet Biorefining-Macon LLC,Macon,MO,,Ring Dryer,,,low,No,,,
3704,Show Me Ethanol,Carrollton,MO,,Rotary Dryer,,,,No,,,
3573,Blue Flint Ethanol LLC,Underwood,ND,,Rotary Dryer,,,,No,,,
3593,Dakota Spirit Agenergy,Spiritwood,ND,,Rotary Dryer,,,,No,,,
3626,Hankinson Renewable Energy LLC,Hankinson,ND,,Rotary Dryer,,,low,No,,,
3699,Red Trail Energy LLC,Richardton,ND,,Rotary Dryer,,,,No,,,
3561,ADM Columbus Wet Mill,Columbus,NE,,Rotary Dryer,,,,No,,,
3575,Bridgeport Ethanol LLC,Bridgeport,NE,,Rotary Dryer,,,low,No,,,
3584,CIE Norfolk GNS LLC,Norfolk,NE,,Rotary Dryer,,,,No,,,
3597,E Energy Adams LLC,Adams,NE,,Rotary Dryer,,,low,Yes,White Fox ICE,,
3612,Green America Biofuels Ord LLC,Ord,NE,,Rotary Dryer,,,low,No,,,
3614,Green Plains Central City LLC,Central City,NE,,Rotary Dryer,,,low,No,,,
3622,Green Plains Wood River LLC,Wood River,NE,,Ring Dryer,,,low,No,,,
3633,Husker Ag LLC,Plainview,NE,,Rotary Dryer,,,low,No,,,
3636,Kappa Ethanol LLC,Minden,NE,,Rotary Dryer,,,low,No,,,
3638,Kappa Partners Aurora LLC,Aurora,NE,,Ring Dryer,,,low,No,,,
3648,Mid America Agri Products LLC,Madrid,NE,,Ring Dryer,,,low,No,,,
3651,Nebraska Corn Processing LLC,Cambridge,NE,,Ring Dryer,,,low,No,,,
3672,Poet Biorefining-Fairmont,Fairmont,NE,,Rotary Dryer,,,low,No,,,
3613,Sandhills Renewable Energy LLC,Atkinson,NE,,Ring Dryer,,,low,No,,,
3706,Siouxland Ethnaol LLC,Jackson,NE,,Rotary Dryer,,,low,No,,,
3717,Trenton Agri Products LLC,Trenton,NE,,Rotary Dryer,,,low,No,,,
3560,VCP Corn Processing,Columbus,NE,,Rotary Dryer,,,,No,,,
3722,Valero Renewable Fuels,Albion,NE,,Rotary Dryer,,,low,No,,,
3735,Western New York Energy LLC,Medina,NY,,Rotary Dryer,,,,No,,,
3627,Guardian Lima LLC,Lima,OH,,Rotary Dryer,,,,No,,,
3673,Poet Biorefining-Fostoria LLC,Fostoria,OH,,Ring Dryer,,,low,No,,,
3683,Poet Biorefining-Leipsic LLC,Leipsic,OH,,Ring Dryer,,,low,No,,,
3685,Poet Biorefining-Marion,Marion,OH,,Ring Dryer,,,low,No,,,
3715,The Andersons Marathon Holdings LLC,Greenville,OH,,Rotary Dryer,,,,No,,,
3716,Three Rivers Energy,Coshocton,OH,,Ring Dryer,,,,No,,,
3724,Valero Renewable Fuels LLC,Bloomingburg,OH,,Rotary Dryer,,,,No,,,
3551,Alto Columbia LLC,Boardman,OR,,Ring Dryer,,,,No,,,
3657,Pennsylvania Grain Processing LLC,Clearfield,PA,,Rotary Dryer,,,,No,,,
3592,Dakota Ethanol LLC,Wentworth,SD,,Rotary Dryer,,,low,No,,,
3606,Glacial Lakes Energy,Mina,SD,,Rotary Dryer,,,,Yes,White Fox ICE,,
3607,Glacial Lakes Energy,Watertown,SD,,Rotary Dryer,,,low,No,,,
3604,Hub City Energy LLC,Aberdeen,SD,,Rotary Dryer,,,,No,,,
3605,Huron Energy LLC,Huron,SD,,Rotary Dryer,,,low,No,,,
3652,Nugen Energy LLC,Marion,SD,,Rotary Dryer,,,low,No,,,
3664,Poet Biorefining- Big Stone LLC,Big Stone City,SD,,Ring Dryer,,,low,No,,,
3667,Poet Biorefining- Chancellor LLC,Chancellor,SD,,Ring Dryer,,,low,No,,,
3676,Poet Biorefining- Groton LLC,Groton,SD,,Ring Dryer,,,low,No,,,
3678,Poet Biorefining- Hudson,Hudson,SD,,Ring Dryer,,,low,No,,,
3687,Poet Biorefining- Mitchell LLC,Mitchell,SD,,Ring Dryer,,,low,No,,,
3693,Poet Research Center,Scotland,SD,,Ring Dryer,,,,No,,,
3698,Red River Energy LLC,Rosholt,SD,,Rotary Dryer,,,,No,,,
3700,Redfield Energy LLC,Redfield,SD,,Rotary Dryer,,,low,Yes,White Fox ICE +,,
3702,Ringneck Energy & Feed LLC,Onida,SD,,Rotary Dryer,,,low,No,,,
3723,Valero Renewable Fuels LLC,Aurora,SD,,Rotary Dryer,,,low,No,,,
3618,Poet Biorefining-Obion LLC,Rives,TN,,Rotary Dryer,,,,No,,,
3595,HET Levelland LLC,Levelland,TX,,Rotary Dryer,,,,No,,,
3629,Hereford Ethanol Partners LP,Hereford,TX,,Rotary Dryer,,,low,No,,,
3738,Plainview Bioenergy LLC,Plainview,TX,,Rotary Dryer,,,low,No,,,
3547,Ace Ethanol LLC,Stanley,WI,,Ring Dryer,,,,Yes,White Fox ICE,,
3755,Aztalan Bio LLC,Johnson Creek,WI,,Ring Dryer,,,,No,,,
3567,Badger State Ethanol LLC,Monroe,WI,,Rotary Dryer,,,low,No,,,
3568,Big River Resources Boyceville LLC,Boyceville,WI,,Rotary Dryer,,,,No,,,
3596,Didion Ethanol LLC,Cambria,WI,,Ring Dryer,,,,No,,,
3601,Fox River Valley Ethanol LLC,Oshkosh,WI,,Ring Dryer,,,,Yes,White Fox ICE,,
3719,United Energy Milton,Milton,WI,,Ring Dryer,,,,Yes,White Fox ICE,,
3645,United Energy Necadah,Necedah,WI,,Rotary Dryer,,,,No,,,
3720,United Wisconsin Grain Producers LLC,Friesland,WI,,Rotary Dryer,,,,No,,,
